회사명 : (주) 슬림팩 / 2026/01/01  ~ 2026/01/31 ,,,,,,,,,,
일자-No.,거래처명,품목명(요약),금액합계,거래유형명,창고명,프로젝트명,주문번호,회계반영여부,인쇄,불러온전표
2026/01/28 -2,AS-엑스라이더,컬러 킥스탠드 블랙 [색상=블랙],,부가세율 적용,본사창고-청담본점,AS-XRB,20260128-0000032 블레이드 FS 교체용,V,인쇄,조회
2026/01/28 -1,주식회사 바이크셀링,이너튜브 20x4.0 1개 외 1건,"130,500",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260128-0000047,V,인쇄,조회
2026/01/27 -15,AS-니어바이크,[클래식] 튜브 20X2.125 외 2건,,부가세율 적용,본사창고-청담본점,AS-NB,옥동자건,V,인쇄,조회
2026/01/27 -14,AS-엑스라이더,"KTET 프론트 브레이크 세트(래버, 센서, 캘리퍼, 패드, 로터) [선택=프론트 브레이크 세트] 외 8건","365,000",부가세율 적용,본사창고-청담본점,AS-XRB,20260127-0000112,V,인쇄,조회
2026/01/27 -13,주식회사 109모빌리티,블레이드 - 메탈 그레이,,부가세율 적용,인천창고-위스테이블,대리점-NB-기타판매,20260127-0000031 마포계약건,V,인쇄,조회
2026/01/27 -12,스마트스토어(네이버)-니어바이크,카고 Cargo - 그레이,"1,490,000",부가세율 적용,인천창고-위스테이블,일반-NB-온라인판매,"2026012786359351 조선미,김민직",V,인쇄,조회
2026/01/27 -11,스마트스토어(네이버)-니어바이크,엑스라이더 360도 자전거 핸드폰 거치대 [핸드폰 거치대: 원터치 360도 회전] 외 1건,"55,000",부가세율 적용,본사창고-청담본점,일반-NB-온라인판매,"2026012786359371 조선미,김민직",V,인쇄,조회
2026/01/27 -10,와이제이(YJ) 모터스,미니 점보 배터리 48V 20Ah,"522,600",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260127-0000085,V,인쇄,조회
2026/01/27 -9,플레이모빌리티,개인결제건,"9,000,000",부가세율 적용,기타,대리점-XRB-기타판매,20260127-0000102 현금결제,V,인쇄,조회
2026/01/27 -8,카페24-엑스라이더,"KTET 리어 브레이크 세트(래버, 센서, 캘리퍼, 패드, 로터) [선택=오토바이 리어 브레이크 세트]","80,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260126-0000081 도명준,V,인쇄,조회
2026/01/27 -7,카페24-엑스라이더,48V 35Ah 점보 배터리 - 유광블랙 [색상=유광 블랙],"1,100,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260126-0000113 허빈,V,인쇄,조회
2026/01/27 -6,카페24-엑스라이더,DC to 3핀 변환 젠더 케이블 외 1건,"10,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260127-0000013 이평원,V,인쇄,조회
2026/01/27 -5,109모빌리티&킥플 평택점,클래식 Classic - 어반 그린 [색상=어반 그린],"755,000",부가세율 적용,인천창고-위스테이블,대리점-NB-온라인판매,20260127-0000011,V,인쇄,조회
2026/01/27 -4,카페24-엑스라이더,"KTET 프론트 브레이크 세트(래버, 센서, 캘리퍼, 패드, 로터) [선택=프론트 브레이크 세트] 외 1건","160,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260127-0000035 박명원,V,인쇄,조회
2026/01/27 -3,전동핫플 금정점,컬러 킥스탠드 블랙 [색상=블랙],"240,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260127-0000041,V,인쇄,조회
2026/01/27 -2,코디바이크,컬러 킥스탠드 레드 [색상=레드] 외 1건,"35,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260127-0000065,V,인쇄,조회
2026/01/27 -1,전동핫플 금정점,튜브리스 타이어 - 미니 프로 / 미니,"24,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260127-0000070,V,인쇄,조회
2026/01/26 -9,AS-엑스라이더,LG KTX 배터리팩 48V 20Ah 외 10건,"1,475,000",부가세율 적용,본사창고-청담본점,AS-XRB,20260126-0000051,V,인쇄,조회
2026/01/26 -8,질주모빌리티 남구점 이반장,[클래식] 리어렉(짐받이) - 블랙 외 1건,"82,500",부가세율 적용,본사창고-청담본점,대리점-NB-온라인판매,20260126-0000016,V,인쇄,조회
2026/01/26 -7,질주모빌리티 남구점 이반장,클래식 Classic - 로얄 네이비 [색상=로얄 네이비] 외 1건,"795,000",부가세율 적용,형동창고-경기도 광주,대리점-NB-온라인판매,20260126-0000016,V,인쇄,조회
2026/01/26 -6,에이벡,클래식 Classic - 매트 블랙 [색상=매트 블랙],"790,000",부가세율 적용,인천창고-위스테이블,대리점-NB-온라인판매,20260126-0000023,V,인쇄,조회
2026/01/26 -5,에이벡,클래식 Classic - 매트 화이트 [색상=매트 화이트],"790,000",부가세율 적용,인천창고-위스테이블,대리점-NB-온라인판매,20260124-0000010,V,인쇄,조회
2026/01/26 -4,알톤자전거 서부산 직영점,릴레이 모듈 - X200프로/터보프로/X100프로 외 5건,"522,500",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260126-0000015,V,인쇄,조회
2026/01/26 -3,코디바이크,48V 35Ah 점보 배터리 - 레드 [색상=레드] 외 1건,"1,054,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260126-0000020,V,인쇄,조회
2026/01/26 -2,와이제이(YJ) 모터스,XT90 to XT60 젠더 세트(암수 다름) [기종(필수)=터보프로/X200터보(XT90단자)] 외 1건,"108,500",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260126-0000035,V,인쇄,조회
2026/01/26 -1,AS-소영석부장,KTX 배터리 거치대(배터리 트레이) - X100프로(XT60) [기종=X100프로(XT60)],,부가세율 적용,본사창고-청담본점,AS-XRB,20260126-0000049,V,인쇄,조회
2026/01/24 -7,AS-엑스라이더,점보 케이스(디자인) - 유광블랙 [색상=유광 블랙],"120,000",부가세율 적용,본사창고-청담본점,AS-XRB,20260124-0000075,V,인쇄,조회
2026/01/24 -6,와이제이(YJ) 모터스,"KTET 프론트 브레이크 세트(래버, 센서, 캘리퍼, 패드, 로터) [선택=프론트 브레이크 세트] 외 1건","111,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260124-0000036,V,인쇄,조회
2026/01/24 -5,와이제이(YJ) 모터스,프론트 브레이크 래버 4P - 터보 프로,"31,500",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260124-0000042,V,인쇄,조회
2026/01/24 -4,카페24-엑스라이더,딜리버리렉 - X200맥스/X100맥스/X200듀오/X200프로/터보프로,"100,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260124-0000019 이승훈,V,인쇄,조회
2026/01/24 -3,카페24-엑스라이더,풋페그 세트(2인승차 발판) [기종=X200맥스/X100프로/X200프로/터보프로/X200/X200고급형/X50] 외 1건,"25,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260124-0000024 김형빈,V,인쇄,조회
2026/01/24 -2,씨제이그룹 주식회사,방향지시등 세트 외 6건,"1,026,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260123-0000072,V,인쇄,조회
2026/01/24 -1,씨제이그룹 주식회사,엑스라이더 미니 차저 외 4건,"481,500",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260123-0000065,V,인쇄,조회
2026/01/23 -9,AS-엑스라이더,엑스라이더 미니 차저,,부가세율 적용,본사창고-청담본점,AS-XRB,20260123-0000081,V,인쇄,조회
2026/01/23 -8,주식회사 109모빌리티,레트로 Retro - 매트 블랙 [색상=매트 블랙],"5,580,000",부가세율 적용,형동창고-경기도 광주,대리점-NB-온라인판매,20260123-0000018,V,인쇄,조회
2026/01/23 -7,주식회사 109모빌리티,카고 Cargo - 그레이,,부가세율 적용,형동창고-경기도 광주,대리점-NB-기타판매,20260123-0000035 마포계약건,V,인쇄,조회
2026/01/23 -5,주식회사 몬바이크(대전점),기능 스위치 - X200맥스/X100맥스/X200듀오/X200프로/X100프로/터보프로,"15,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260122-0000111,V,인쇄,조회
2026/01/23 -4,주식회사 바이크셀링,컬러 킥스탠드 블랙 [색상=블랙] 외 1건,"29,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260123-0000023,V,인쇄,조회
2026/01/23 -3,주식회사 바이크셀링,컬러 킥스탠드 블랙 [색상=블랙] 외 1건,"77,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260123-0000034,V,인쇄,조회
2026/01/23 -2,코디바이크,컬러 킥스탠드 레드 [색상=레드] 외 1건,"35,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260123-0000041,V,인쇄,조회
2026/01/23 -1,주식회사 몬바이크(대전점),소프트 톨시트 블랙 - X200맥스/X200프로/터보프로/X200/X200S고급 [기종을 적어주세요=X200S] 외 1건,"119,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260123-0000057,V,인쇄,조회
2026/01/22 -12,킥플,클래식 Classic - 매트 화이트 [색상=매트 화이트],"790,000",부가세율 적용,인천창고-위스테이블,대리점-NB-온라인판매,20260122-0000049,V,인쇄,조회
2026/01/22 -11,카페24-엑스라이더,"KTET 리어 브레이크 세트(래버, 센서, 캘리퍼, 패드, 로터) [선택=오토바이 리어 브레이크 세트] 외 1건","110,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260122-0000067 최경찬,V,인쇄,조회
2026/01/22 -10,에이벡,리어 브레이크 세트 XOD - X200/X100 외 1건,"231,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260122-0000086,V,인쇄,조회
2026/01/22 -9,분당 전기자전거 E-바이크개러지,개인결제건,"1,400,000",부가세율 적용,기타,대리점-XRB-기타판매,20260122-0000052 카드결제,V,인쇄,조회
2026/01/22 -8,카페24-니어바이크,[레트로/레트로 미니] 리어렉(짐받이),"80,000",부가세율 적용,본사창고-청담본점,일반-NB-온라인판매,20260121-0000021 문영란,V,인쇄,조회
2026/01/22 -7,주식회사 바이코레,이너튜브 20x4.5 & 4.8 1개 외 2건,"111,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260121-0000054,V,인쇄,조회
2026/01/22 -6,지티아이에스(GTIS),개인결제건,"1,940,000",부가세율 적용,기타,대리점-XRB-기타판매,20260121-0000097 카드결제,V,인쇄,조회
2026/01/22 -5,카페24-엑스라이더,60V 2A 일반충전기(3핀) [기종=3핀(24년 터보프로)] 외 1건,"65,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260121-0000104 김유림 김상현,V,인쇄,조회
2026/01/22 -4,109모빌리티 안양점,[레트로/레트로 미니] 리어렉(짐받이) 외 1건,"65,000",부가세율 적용,본사창고-청담본점,대리점-NB-온라인판매,20260121-0000055,V,인쇄,조회
2026/01/22 -3,프리미엄전기자전거몰,개인결제건,"2,000,000",부가세율 적용,기타,대리점-XRB-기타판매,20260122-0000033 현금결제,V,인쇄,조회
2026/01/22 -2,알톤자전거 서부산 직영점,개인결제건,"3,800,000",부가세율 적용,기타,대리점-XRB-기타판매,20260122-0000049 카드결제,V,인쇄,조회
2026/01/22 -1,바이시클로,"배터리 케이스(20Ah용, 스티커 포함, NB) 외 1건","57,500",부가세율 적용,인천창고-위스테이블,대리점-NB-온라인판매,20260122-0000029,V,인쇄,조회
2026/01/21 -7,에이벡,[스프린터] 프론트 휠 세트,,부가세율 적용,인천창고-위스테이블,AS-NB,20260121-0000016,V,인쇄,조회
2026/01/21 -5,AS-엑스라이더,컬러 킥스탠드 블랙 [색상=블랙] 외 9건,"480,000",부가세율 적용,본사창고-청담본점,AS-XRB,20260121-0000085,V,인쇄,조회
2026/01/21 -4,에이벡,20Ah KTX 배터리(NB) 외 1건,"1,832,000",부가세율 적용,인천창고-위스테이블,대리점-NB-온라인판매,20260121-0000035,V,인쇄,조회
2026/01/21 -3,에코바이크,카고 Cargo - 그레이,"2,380,000",부가세율 적용,인천창고-위스테이블,대리점-NB-온라인판매,20260121-0000044,V,인쇄,조회
2026/01/21 -2,카페24-엑스라이더,"KTET 리어 브레이크 세트(래버, 센서, 캘리퍼, 패드, 로터) [선택=오토바이 리어 브레이크 세트]","80,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260121-0000038 이용서,V,인쇄,조회
2026/01/20 -20,카페24-엑스라이더,딜리버리렉 - X200맥스/X100맥스/X200듀오/X200프로/터보프로 외 1건,"2,390,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260120-0000083 김동현 예판,V,인쇄,조회
2026/01/20 -19,카페24-엑스라이더,컬러 포크가드 스티커 옐로우 - X200맥스/X200프로 [색상=옐로우] 외 10건,"4,955,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260120-0000097 김현수/김정훈 예판,V,인쇄,조회
2026/01/20 -18,카페24-엑스라이더,불렛 헤드라이트 - X200맥스/X100맥스/X200듀오/X200프로/터보프로/X100프로,"100,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260120-0000115 강도영,V,인쇄,조회
2026/01/20 -17,카페24-엑스라이더,48V 6A 고속충전기(3핀),"140,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260120-0000127 최종우,V,인쇄,조회
2026/01/20 -16,카페24-엑스라이더,"X50 FS [색상=블랙, 옵션=LED 헤드라이트/고급 도립식 서스펜션/XRB타이어/유압식 디스크 브레이크/52T 크랭크/리어렉/모터사이클 킥스텐드/마그네슘 휠/머드가드/와이드시트]","1,990,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260120-0000074 양동룡 예판,V,인쇄,조회
2026/01/20 -15,AS-엑스라이더,방향지시등 세트 외 1건,"130,000",부가세율 적용,본사창고-청담본점,AS-XRB,20260120-0000100,V,인쇄,조회
2026/01/20 -13,카페24-엑스라이더,소프트 시트(미니) - 브라운 [색상=브라운] 외 2건,"100,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260119-0000025 박지무,V,인쇄,조회
2026/01/20 -12,AS-니어바이크,[레트로 미니/카고] 그립 세트 외 1건,,부가세율 적용,인천창고-위스테이블,AS-NB,20260119-0000024,V,인쇄,조회
2026/01/20 -11,에이벡,수납가방 L - X200듀오/X200프로/터보프로 외 1건,"689,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260119-0000097,V,인쇄,조회
2026/01/20 -10,AS-엑스라이더,엑스라이더 360도 자전거 핸드폰 거치대,,부가세율 적용,본사창고-청담본점,AS-XRB,20260119-0000107,V,인쇄,조회
2026/01/20 -9,에이벡,3핀 to DC 변환 젠더 케이블 외 1건,"118,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260119-0000119,V,인쇄,조회
2026/01/20 -8,카페24-엑스라이더,점보 배터리 거치대(배터리 트레이) - 60V(터보프로/X200터보) [기종=60V(터보프로/X200터보)] 외 2건,"85,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260119-0000126 이승훈,V,인쇄,조회
2026/01/20 -7,카페24-엑스라이더,60V 2A 일반충전기(DC) [기종=DC단자(터보프로/X200 터보)] 외 1건,"60,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260119-0000141 이정민,V,인쇄,조회
2026/01/20 -6,카페24-엑스라이더,풋페그 세트(2인승차 발판) [기종=X200맥스/X100프로/X200프로/터보프로/X200/X200고급형/X50] 외 2건,"60,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260119-0000155 홍지원,V,인쇄,조회
2026/01/20 -5,카페24-엑스라이더,엑스라이더 미니 차저 외 1건,"40,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260120-0000018 강도영,V,인쇄,조회
2026/01/20 -4,109모빌리티&킥플 평택점,듀얼 배터리 스위치(셀렉터) - 48V [기종선택=48V(X200맥스/X100맥스/X200프로/X200S고급형/X200)] 외 1건,,부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260120-0000026,V,인쇄,조회
2026/01/20 -3,디씨존,카고 Cargo - 그레이,"1,140,000",부가세율 적용,인천창고-위스테이블,대리점-NB-온라인판매,20260120-0000011,V,인쇄,조회
2026/01/20 -2,씨제이그룹 주식회사,풋페그 세트(2인승차 발판) [기종=X200맥스/X100프로/X200프로/터보프로/X200/X200고급형/X50] 외 1건,"316,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260120-0000036,V,인쇄,조회
2026/01/20 -1,분당 전기자전거 E-바이크개러지,풋페그 세트(2인승차 발판) [기종=X200맥스/X100프로/X200프로/터보프로/X200/X200고급형/X50] 외 1건,"77,500",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260120-0000049,V,인쇄,조회
2026/01/19 -10,주식회사 온컴퍼니,48V 6A 고속충전기(3핀),"98,000",부가세율 적용,본사창고-청담본점,대리점-NB-온라인판매,20260119-0000016,V,인쇄,조회
2026/01/19 -9,주식회사 온컴퍼니,레트로 Retro - 매트 블랙 [색상=매트 블랙],"1,280,000",부가세율 적용,형동창고-경기도 광주,대리점-NB-온라인판매,20260119-0000016,V,인쇄,조회
2026/01/19 -8,주식회사 몬바이크(대전점),엑스라이더 멀티박스 [상품(필수)=멀티박스],"105,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260119-0000035,V,인쇄,조회
2026/01/19 -7,에이벡,일자 그립 외 2건,"85,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260119-0000055,V,인쇄,조회
2026/01/19 -5,주식회사 몬바이크(대전점),프론트 엑슬 - X200맥스/X100맥스/X200듀오/X200프로/X100프로/X50,"9,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260119-0000046,V,인쇄,조회
2026/01/19 -4,주식회사 몬바이크(대전점),기능 스위치 - X200 / X200 고급형(S) / X200 터보 / New X100,"16,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260119-0000064,V,인쇄,조회
2026/01/19 -3,유로휠 청주점,수납가방 L - X200듀오/X200프로/터보프로 외 1건,"126,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260115-0000093,V,인쇄,조회
2026/01/19 -2,스마트스토어(네이버)-니어바이크,레트로 Retro - 매트 블랙,"1,590,000",부가세율 적용,본사창고-청담본점,일반-NB-온라인판매,2026011942230251 스마트스토어 김용현,V,인쇄,조회
2026/01/19 -1,판매-청담본점-니어바이크,레트로 Retro - 매트 블랙 외 1건,"1,625,000",부가세율 적용,본사창고-청담본점,일반-NB-일반판매,김도영 매장 픽업,V,인쇄,조회
2026/01/18 -1,카페24-엑스라이더,키박스 디스플레이 스로틀 [기종을 적어주세요=엑스라이더 200s] 외 1건,"85,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260118-0000011 황대진,V,인쇄,조회
2026/01/17 -4,질주 모빌리티 동래점,"[클래식] 프론트 20 휠 세트 (림, 스포크, 허브 세트, QR 엑슬) - 실버",,부가세율 적용,본사창고-청담본점,AS-NB,20260117-0000011,V,인쇄,조회
