회사명 : (주) 슬림팩 / 2025/01/01  ~ 2025/12/31 ,,,,,,,,,,
일자-No.,품목명(규격),수량,단가,공급가액,부가세,합계,거래처명,창고명,프로젝트명,주문번호
2025/12/07 -5,방향지시등 세트,1,"50,000","50,000","5,000","55,000",두발이모빌리티,본사창고-청담본점,대리점-XRB-온라인판매,20251207-0000040
2025/12/07 -5,H 핸들 롱타입 - 블랙,1,"50,909","50,909","5,091","56,000",두발이모빌리티,본사창고-청담본점,대리점-XRB-온라인판매,20251207-0000040
2025/12/07 -5,엑스라이더 360도 자전거 핸드폰 거치대,1,"22,273","22,273","2,227","24,500",두발이모빌리티,본사창고-청담본점,대리점-XRB-온라인판매,20251207-0000040
2025/12/07 -5,점보 케이스(디자인) - 유광블랙,1,"65,455","65,455","6,545","72,000",두발이모빌리티,본사창고-청담본점,대리점-XRB-온라인판매,20251207-0000040
2025/12/07 -6,52T 크랭크 세트,1,"36,364","36,364","3,636","40,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251207-0000100
2025/12/07 -6,택배비,1,"4,545","4,545",455,"5,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251207-0000100
2025/12/07 -7,20Ah KTX 배터리(NB),1,"545,455","545,455","54,545","600,000",카페24-니어바이크,인천창고-위스테이블,일반-NB-온라인판매,20251207-0000014 송영수
2025/12/08 -6,52T 크랭크 세트,1,"25,455","25,455","2,545","28,000",주식회사 바이크셀링,본사창고-청담본점,대리점-XRB-온라인판매,20251208-0000074
2025/12/08 -6,H 핸들바 - 블랙,1,"50,909","50,909","5,091","56,000",주식회사 바이크셀링,본사창고-청담본점,대리점-XRB-온라인판매,20251208-0000074
2025/12/08 -6,컬러 킥스탠드 블랙,2,"21,818","43,636","4,364","48,000",주식회사 바이크셀링,본사창고-청담본점,대리점-XRB-온라인판매,20251208-0000074
2025/12/08 -8,컬러 킥스탠드 블랙,1,"21,818","21,818","2,182","24,000",109모빌리티 안양점,본사창고-청담본점,대리점-XRB-온라인판매,20251208-0000019
2025/12/08 -8,52T 크랭크 세트,1,"25,455","25,455","2,545","28,000",109모빌리티 안양점,본사창고-청담본점,대리점-XRB-온라인판매,20251208-0000019
2025/12/08 -8,택배비,1,"5,000","4,545",455,"5,000",109모빌리티 안양점,본사창고-청담본점,대리점-XRB-온라인판매,20251208-0000019
2025/12/08 -10,수납가방 M - X200프로,1,"38,182","38,182","3,818","42,000",주식회사 바이크셀링,본사창고-청담본점,대리점-XRB-온라인판매,20251208-0000041
2025/12/08 -10,택배비,1,"4,545","4,545",455,"5,000",주식회사 바이크셀링,본사창고-청담본점,대리점-XRB-온라인판매,20251208-0000041
2025/12/08 -11,컬러 킥스탠드 블랙,1,"21,818","21,818","2,182","24,000",주식회사 바이크셀링,본사창고-청담본점,대리점-XRB-온라인판매,20251208-0000039
2025/12/08 -11,택배비,1,"4,545","4,545",455,"5,000",주식회사 바이크셀링,본사창고-청담본점,대리점-XRB-온라인판매,20251208-0000039
2025/12/08 -12,[카고LT/카고] 핸들바,1,"34,091","34,091","3,409","37,500",주식회사 109모빌리티,인천창고-위스테이블,대리점-NB-온라인판매,20251208-0000029
2025/12/08 -12,택배비,1,"5,000","4,545",455,"5,000",주식회사 109모빌리티,인천창고-위스테이블,대리점-NB-온라인판매,20251208-0000029
2025/12/08 -21,풋페그 세트(2인승차 발판) [기종=X200맥스/X100프로/X200프로/터보프로/X200/X200고급형/X50],1,"18,182","18,182","1,818","20,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251208-0000145
2025/12/08 -21,52T 크랭크 세트,1,"36,364","36,364","3,636","40,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251208-0000145
2025/12/08 -21,택배비,1,"5,000","4,545",455,"5,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251208-0000145
2025/12/08 -23,싱글 스프라켓,1,"6,364","6,364",636,"7,000",알톤자전거 서부산 직영점,본사창고-청담본점,대리점-XRB-온라인판매,20251208-0000057
2025/12/08 -24,헤드라이트 홀더(KKE) - X200맥스/X100맥스/X200듀오/X200프로/터보프로/X100프로,1,"8,182","8,182",818,"9,000",씨제이그룹 주식회사,본사창고-청담본점,대리점-XRB-온라인판매,20251208-0000097
2025/12/08 -24,배송비,1,"4,545","4,545",455,"5,000",씨제이그룹 주식회사,본사창고-청담본점,대리점-XRB-온라인판매,20251208-0000097
2025/12/08 -25,컬러 머드가드 세트 레드 - X200맥스,1,"35,455","35,455","3,545","39,000",씨제이그룹 주식회사,본사창고-청담본점,대리점-XRB-온라인판매,20251208-0000103
2025/12/08 -25,택배비,1,"4,545","4,545",455,"5,000",씨제이그룹 주식회사,본사창고-청담본점,대리점-XRB-온라인판매,20251208-0000103
2025/12/08 -26,52T 크랭크 세트,1,"25,455","25,455","2,545","28,000",분당 전기자전거 E-바이크개러지,본사창고-청담본점,대리점-XRB-온라인판매,20251208-0000111
2025/12/08 -26,택배비,1,"4,545","4,545",455,"5,000",분당 전기자전거 E-바이크개러지,본사창고-청담본점,대리점-XRB-온라인판매,20251208-0000111
2025/12/08 -27,브레이크 패드 - 1. 오토바이 KTET 브레이크패드 XRB-01,3,"9,545","28,636","2,864","31,500",전주 전기자전거 백프로 모빌리티,본사창고-청담본점,대리점-XRB-온라인판매,20251208-0000129
2025/12/08 -27,림테이프,1,"6,364","6,364",636,"7,000",전주 전기자전거 백프로 모빌리티,본사창고-청담본점,대리점-XRB-온라인판매,20251208-0000129
2025/12/08 -27,텍트로 리어 브레이크 세트 - X200 프로,1,"63,636","63,636","6,364","70,000",전주 전기자전거 백프로 모빌리티,본사창고-청담본점,대리점-XRB-온라인판매,20251208-0000129
2025/12/08 -28,이너튜브 20x4.5 & 4.8 1개,5,"7,500","37,500","3,750","41,250",에코바이크,본사창고-청담본점,대리점-XRB-온라인판매,20251208-0000134
2025/12/08 -28,딜리버리렉 - X200맥스/X100맥스/X200듀오/X200프로/터보프로,3,"59,091","177,273","17,727","195,000",에코바이크,본사창고-청담본점,대리점-XRB-온라인판매,20251208-0000134
2025/12/08 -28,브레이크 패드 - 2. 텍트로 브레이크 패드,5,"12,727","63,636","6,364","70,000",에코바이크,본사창고-청담본점,대리점-XRB-온라인판매,20251208-0000134
2025/12/08 -28,브레이크 패드 - 3. XOD 브레이크 패드,10,"9,545","95,455","9,545","105,000",에코바이크,본사창고-청담본점,대리점-XRB-온라인판매,20251208-0000134
2025/12/08 -28,유성기어 - X200맥스/X100프로/X200프로/X50,1,"31,818","31,818","3,182","35,000",에코바이크,본사창고-청담본점,대리점-XRB-온라인판매,20251208-0000134
2025/12/08 -30,모터 세트(바팡) - X200고급형(S),1,"363,636","363,636","36,364","400,000",알톤자전거 서부산 직영점,본사창고-청담본점,대리점-XRB-온라인판매,20251208-0000023
2025/12/08 -30,키박스 디스플레이 스로틀,1,"58,182","58,182","5,818","64,000",알톤자전거 서부산 직영점,본사창고-청담본점,대리점-XRB-온라인판매,20251208-0000023
2025/12/08 -30,디펜더 라이트,1,"59,091","59,091","5,909","65,000",알톤자전거 서부산 직영점,본사창고-청담본점,대리점-XRB-온라인판매,20251208-0000023
2025/12/08 -31,헤드셋 세트,1,"13,636","13,636","1,364","15,000",승리모터스,인천창고-위스테이블,대리점-NB-온라인판매,20251208-0000045 #1
2025/12/08 -31,풋페그 세트(2인승차 발판),1,"13,636","13,636","1,364","15,000",승리모터스,인천창고-위스테이블,대리점-NB-온라인판매,20251208-0000045 #1
2025/12/08 -32,스로틀 스위치,2,"20,455","40,909","4,091","45,000",승리모터스,본사창고-청담본점,대리점-NB-온라인판매,20251208-0000045 #2
2025/12/08 -32,[레트로/레트로 미니] 리어렉(짐받이),2,"54,545","109,091","10,909","120,000",승리모터스,본사창고-청담본점,대리점-NB-온라인판매,20251208-0000045 #2
2025/12/09 -1,48V 6A 고속충전기(3핀),1,"127,273","127,273","12,727","140,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251209-0000014
2025/12/09 -1,미니 점보 배터리 48V 20Ah,1,"609,091","609,091","60,909","670,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251209-0000014
2025/12/09 -1,듀얼 배터리 스위치(셀렉터) - 48V,1,,,,,카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251209-0000014
2025/12/09 -2,스로틀 스위치,2,"20,455","40,909","4,091","45,000",109모빌리티 안양점,본사창고-청담본점,대리점-NB-온라인판매,20251209-0000014
2025/12/09 -2,택배비,1,"5,000","4,545",455,"5,000",109모빌리티 안양점,본사창고-청담본점,대리점-NB-온라인판매,20251209-0000014
2025/12/09 -3,컨트롤러 - X200 프로 / X100 프로(플러그),1,"95,455","95,455","9,545","105,000",씨제이그룹 주식회사,본사창고-청담본점,대리점-XRB-온라인판매,20251209-0000038
2025/12/09 -3,52T 크랭크 세트,1,"25,455","25,455","2,545","28,000",씨제이그룹 주식회사,본사창고-청담본점,대리점-XRB-온라인판매,20251209-0000038
2025/12/09 -3,프론트 엑슬 - X200맥스/X100맥스/X200듀오/X200프로/X100프로/X50,1,"8,182","8,182",818,"9,000",씨제이그룹 주식회사,본사창고-청담본점,대리점-XRB-온라인판매,20251209-0000038
2025/12/09 -4,소프트 톨시트 블랙 - X200맥스/X200프로/터보프로/X200/X200S고급 [기종을 적어주세요=x200max],1,"89,091","89,091","8,909","98,000",두발이모빌리티,본사창고-청담본점,대리점-XRB-온라인판매,20251209-0000021
2025/12/09 -4,방향지시등 세트,1,"50,000","50,000","5,000","55,000",두발이모빌리티,본사창고-청담본점,대리점-XRB-온라인판매,20251209-0000021
2025/12/09 -5,레트로 Retro - 매트 블랙 [색상=매트 블랙],5,"1,010,545","5,052,727","505,273","5,558,000",코지모빌리티,형동창고-경기도 광주,대리점-NB-기타판매,20251209-0000055 윈터
2025/12/09 -6,[레트로/레트로 미니] 리어렉(짐받이),2,"54,545","109,091","10,909","120,000",코지모빌리티,본사창고-청담본점,대리점-NB-온라인판매,20251209-0000055
2025/12/09 -7,"KTET 리어 브레이크 세트(래버, 센서, 캘리퍼, 패드, 로터) [선택=오토바이 리어 브레이크 세트]",2,"50,909","101,818","10,182","112,000",바이크 스토어,본사창고-청담본점,대리점-XRB-온라인판매,20251209-0000043
2025/12/09 -8,체인 텐셔너 - X200맥스,1,,,,,AS-엑스라이더,본사창고-청담본점,AS-XRB,20251209-0000051
2025/12/09 -8,리어 로터 교체-공임,1,"45,455","45,455","4,545","50,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251209-0000051
2025/12/10 -1,엑스라이더 360도 자전거 핸드폰 거치대,1,"31,818","31,818","3,182","35,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251210-0000021
2025/12/10 -1,택배비,1,"5,000","4,545",455,"5,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251210-0000021
2025/12/10 -2,컬러 리어렉 블랙 [색상=블랙],1,"90,909","90,909","9,091","100,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251210-0000084
2025/12/10 -3,수납가방 L - X200듀오/X200프로/터보프로,1,"109,091","109,091","10,909","120,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251210-0000066
2025/12/10 -4,방향지시등 세트,1,"90,909","90,909","9,091","100,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251210-0000013
2025/12/10 -5,48V 6A 고속충전기(3핀),1,"127,273","127,273","12,727","140,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251210-0000097
2025/12/10 -5,3핀 to DC 변환 젠더 케이블,1,"4,545","4,545",455,"5,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251210-0000097
2025/12/10 -6,불렛 헤드라이트 - X200맥스/X100맥스/X200듀오/X200프로/터보프로/X100프로,1,,,,,두발이모빌리티,본사창고-청담본점,대리점-XRB-온라인판매,20251210-0000057
2025/12/10 -7,키박스 디스플레이 스로틀 [기종을 적어주세요=X200프로],1,,,,,두발이모빌리티,본사창고-청담본점,대리점-XRB-온라인판매,20251210-0000057
2025/12/10 -8,프론트 림 - X100 / X100S,1,"76,364","76,364","7,636","84,000",전동핫플 금정점,본사창고-청담본점,대리점-XRB-온라인판매,20251210-0000043
2025/12/10 -8,프론트 포크 - X100 / X100S,1,"85,000","85,000","8,500","93,500",전동핫플 금정점,본사창고-청담본점,대리점-XRB-온라인판매,20251210-0000043
2025/12/10 -8,체인 - X100프로/X100/X100S/NewX100 [기종=X100프로/X100/X100S/NewX100],2,"9,545","19,091","1,909","21,000",전동핫플 금정점,본사창고-청담본점,대리점-XRB-온라인판매,20251210-0000043
2025/12/10 -8,페달 세트,2,"15,909","31,818","3,182","35,000",전동핫플 금정점,본사창고-청담본점,대리점-XRB-온라인판매,20251210-0000043
2025/12/10 -8,풋페그 세트(2인승차 발판) [기종=X200맥스/X100프로/X200프로/터보프로/X200/X200고급형/X50],3,"10,909","32,727","3,273","36,000",전동핫플 금정점,본사창고-청담본점,대리점-XRB-온라인판매,20251210-0000043
2025/12/10 -9,48V 2A 일반충전기(DC) [기종=3핀],1,,,,,두발이모빌리티,본사창고-청담본점,대리점-XRB-온라인판매,20251210-0000031
2025/12/10 -10,(주)슬림팩-전기자전거 수리비,1,"1,091,000","1,091,000","109,100","1,200,100",서울희망택시(협),기타,AS-XRB,
2025/12/10 -11,60V 2A 일반충전기(3핀) [기종=3핀(24년 터보프로)],1,"50,000","50,000","5,000","55,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251210-0000101
2025/12/10 -11,브레이크 패드 - 2. 텍트로 브레이크 패드 [기종=2. 텍트로 브레이크 패드],2,"18,182","36,364","3,636","40,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251210-0000101
2025/12/10 -11,키박스 디스플레이 스로틀 [기종을 적어주세요=X200프로],1,"72,727","72,727","7,273","80,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251210-0000101
2025/12/10 -11,패드 교체-공임,2,"13,636","27,273","2,727","30,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251210-0000101
2025/12/10 -11,3핀 to DC 변환 젠더 케이블,1,,,,,AS-엑스라이더,본사창고-청담본점,AS-XRB,20251210-0000101
2025/12/10 -12,브레이크 패드 - 1. 오토바이 KTET 브레이크패드 XRB-01 [기종=1. 오토바이 브레이크패드 XRB-01],2,"13,636","27,273","2,727","30,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251210-0000123
2025/12/10 -12,택배비,1,"5,000","4,545",455,"5,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251210-0000123
2025/12/10 -13,[레트로/레트로 미니] 리어렉(짐받이),1,"72,727","72,727","7,273","80,000",카페24-니어바이크,본사창고-청담본점,일반-NB-온라인판매,"20251210-0000012 조영수,이진우"
2025/12/10 -14,레트로 Retro - 샌드 베이지 [색상=샌드 베이지],1,"1,445,455","1,445,455","144,545","1,590,000",카페24-니어바이크,본사창고-청담본점,일반-NB-온라인판매,"20251210-0000012 조영수,이진우"
2025/12/10 -15,KTET 캘리퍼 아답터 세트(TYPE 6) for X200프로/터보프로/X50 (KKE) - type 4와 같음 [기종선택=X200프로/터보프로/X200맥스/X100맥스/X50],1,,,,,와이제이(YJ) 모터스,본사창고-청담본점,대리점-XRB-온라인판매,20251210-0000112
2025/12/10 -16,"KTET 리어 브레이크 세트(래버, 센서, 캘리퍼, 패드, 로터) [선택=오토바이 리어 브레이크 세트]",1,"50,909","50,909","5,091","56,000",와이제이(YJ) 모터스,본사창고-청담본점,대리점-XRB-온라인판매,20251210-0000112
2025/12/10 -17,"KTET 프론트 브레이크 세트(래버, 센서, 캘리퍼, 패드, 로터) [선택=프론트 브레이크 세트]",1,"50,909","50,909","5,091","56,000",와이제이(YJ) 모터스,본사창고-청담본점,대리점-XRB-온라인판매,20251210-0000112
2025/12/10 -17,KTET 캘리퍼 아답터 세트(TYPE 6) for X200프로/터보프로/X50 (KKE) - type 4와 같음 [기종선택=X200프로/터보프로/X200맥스/X100맥스/X50],1,,,,,와이제이(YJ) 모터스,본사창고-청담본점,대리점-XRB-온라인판매,20251210-0000112
2025/12/11 -1,H 핸들 롱타입 - 블랙 [색상=블랙],1,"50,909","50,909","5,091","56,000",주식회사 바이크셀링,본사창고-청담본점,대리점-XRB-온라인판매,20251211-0000031
2025/12/11 -1,택배비,1,"5,000","4,545",455,"5,000",주식회사 바이크셀링,본사창고-청담본점,대리점-XRB-온라인판매,20251211-0000031
2025/12/11 -2,컬러 리어렉 블랙 [색상=블랙],1,"90,909","90,909","9,091","100,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251211-0000026
2025/12/11 -3,딜리버리렉 - X200맥스/X100맥스/X200듀오/X200프로/터보프로,1,"90,909","90,909","9,091","100,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251211-0000011
2025/12/11 -4,수납가방 - X200맥스,-1,"109,091","-109,091","-10,909","-120,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251205-0000015 홍혜련 반품건
2025/12/11 -7,브레이크 패드 - 1. 오토바이 KTET 브레이크패드 XRB-01,2,"13,636","27,273","2,727","30,000",카페24-니어바이크,본사창고-청담본점,일반-NB-온라인판매,20251211-0000011 이미래
2025/12/11 -7,택배비,1,"5,000","4,545",455,"5,000",카페24-니어바이크,본사창고-청담본점,일반-NB-온라인판매,20251211-0000011 이미래
2025/12/11 -8,일자 그립,1,"13,636","13,636","1,364","15,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251211-0000069
2025/12/11 -8,52T 크랭크 세트,1,"36,364","36,364","3,636","40,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251211-0000069
2025/12/11 -8,페달 세트,1,"22,727","22,727","2,273","25,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251211-0000069
2025/12/11 -8,풋페그 세트(2인승차 발판) [기종=X200맥스/X100프로/X200프로/터보프로/X200/X200고급형/X50],1,"18,182","18,182","1,818","20,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251211-0000069
2025/12/11 -8,리어렉(짐받이) - X50,1,"90,909","90,909","9,091","100,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251211-0000069
2025/12/11 -8,이너튜브 20x4.5 & 4.8 1개,1,"13,636","13,636","1,364","15,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251211-0000069
2025/12/11 -8,엑스라이더 360도 자전거 핸드폰 거치대,1,"31,818","31,818","3,182","35,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251211-0000069
2025/12/11 -8,컬러 킥스탠드 블랙 [색상=블랙],1,"36,364","36,364","3,636","40,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251211-0000069
2025/12/11 -8,리어 튜브 교체-공임,1,"45,455","45,455","4,545","50,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251211-0000069
2025/12/11 -8,XRB 타이어 20x4.5,1,"109,091","109,091","10,909","120,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251211-0000069
2025/12/11 -10,[레트로/레트로 미니] 리어렉(짐받이),1,"54,545","54,545","5,455","60,000",와이제이(YJ) 모터스,본사창고-청담본점,대리점-NB-온라인판매,20251211-0000022
2025/12/11 -10,택배비,1,"5,000","4,545",455,"5,000",와이제이(YJ) 모터스,본사창고-청담본점,대리점-NB-온라인판매,20251211-0000022
2025/12/12 -1,컬러 머드가드 세트 레드 - X200맥스 [색상=레드],1,"54,545","54,545","5,455","60,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251212-0000013
2025/12/12 -1,택배비,1,"5,000","4,545",455,"5,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251212-0000013
2025/12/12 -3,48V 6A 고속충전기(3핀),1,"89,091","89,091","8,909","98,000",에코바이크,본사창고-청담본점,대리점-XRB-온라인판매,20251212-0000023
2025/12/12 -3,택배비,1,"5,000","4,545",455,"5,000",에코바이크,본사창고-청담본점,대리점-XRB-온라인판매,20251212-0000023
2025/12/12 -4,수납가방 L - X200듀오/X200프로/터보프로,1,"109,091","109,091","10,909","120,000",판매-청담본점-엑스라이더,본사창고-청담본점,일반-XRB-일반판매,20251212-0000048 이인서
